StateAbbr,PlaceName,PlaceFIPS,Population2010,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CASTHMA_AdjPrev,CASTHMA_Adj95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,SLEEP_AdjPrev,SLEEP_Adj95CI,Geolocation,UseForStateMap_GEO_ID,UseForStateMap_StateNumber,UseForStateMap_StateName,UseForStateMap_CityName
SC,North Charleston,"4550875","97,471","10.5","(10.4, 10.6)","10.3","(10.2, 10.4)","39.1","(38.8, 39.4)","38.8","(38.5, 39.0)","(32.91009150710, -80.0738525014)",0400000US45,"45",South Carolina,Rock Hill
SC,Rock Hill,"4561405","66,154","10.3","(10.2, 10.5)","10.2","(10.0, 10.3)","40.8","(40.4, 41.1)","40.9","(40.5, 41.2)","(34.94036114960, -81.0249178286)",0400000US45,"45",South Carolina,Rock Hill
SD,Rapid City,"4652980","67,956","8.9","( 8.8,  9.0)","8.9","( 8.8,  9.1)","26.4","(26.1, 26.7)","27","(26.6, 27.3)","(44.07050095640, -103.218361421)",0400000US46,"46",South Dakota,Sioux Falls
SD,Sioux Falls,"4659020","153,888","8.3","( 8.2,  8.4)","8.3","( 8.2,  8.4)","27.2","(26.9, 27.4)","27.1","(26.8, 27.4)","(43.53880675370, -96.7313495858)",0400000US46,"46",South Dakota,Sioux Falls
TN,Chattanooga,"4714000","167,674","11.1","(11.0, 11.2)","11.1","(11.0, 11.2)","39.7","(39.4, 39.9)","40.3","(40.1, 40.6)","(35.06624721650, -85.2466771892)",0400000US47,"47",Tennessee,Nashville
TN,Clarksville,"4715160","132,929","10.5","(10.4, 10.7)","10.4","(10.3, 10.5)","41.7","(41.4, 42.0)","41.3","(41.0, 41.5)","(36.56968315900, -87.3432371614)",0400000US47,"47",Tennessee,Nashville
TN,Knoxville,"4740000","178,874","10.7","(10.5, 10.8)","10.5","(10.4, 10.6)","36.8","(36.5, 37.1)","37.4","(37.2, 37.7)","(35.96905945310, -83.9495877264)",0400000US47,"47",Tennessee,Nashville
TN,Memphis,"4748000","646,889","11.2","(11.1, 11.3)","11.1","(11.0, 11.2)","41.1","(41.0, 41.2)","41.1","(40.9, 41.2)","(35.10462950420, -89.9789060850)",0400000US47,"47",Tennessee,Nashville
TN,Murfreesboro,"4751560","108,755","10","( 9.8, 10.1)","9.7","( 9.6,  9.8)","37.8","(37.4, 38.3)","37.7","(37.4, 38.1)","(35.85077819500, -86.4086282380)",0400000US47,"47",Tennessee,Nashville
TN,Nashville,"4752006","601,222","10.3","(10.2, 10.4)","10.2","(10.2, 10.3)","39.6","(39.5, 39.8)","39.4","(39.3, 39.5)","(36.17122299040, -86.7845944773)",0400000US47,"47",Tennessee,Nashville
TX,Abilene,"4801000","117,063","8.8","( 8.7,  9.0)","8.7","( 8.7,  8.8)","33.2","(32.9, 33.5)","33.9","(33.6, 34.1)","(32.45465108980, -99.7383043723)",0400000US48,"48",Texas,Wichita Falls
TX,Allen,"4801924","84,246","7.7","( 7.5,  7.8)","7.6","( 7.5,  7.7)","33.3","(32.7, 33.8)","31.8","(31.3, 32.3)","(33.10870432340, -96.6735373763)",0400000US48,"48",Texas,Wichita Falls
TX,Amarillo,"4803000","190,695","8.9","( 8.8,  8.9)","8.8","( 8.7,  8.9)","34.1","(33.9, 34.3)","34.2","(34.0, 34.4)","(35.20038355440, -101.828292514)",0400000US48,"48",Texas,Wichita Falls
TX,Arlington,"4804000","365,438","9","( 8.9,  9.1)","8.9","( 8.8,  8.9)","36.9","(36.7, 37.0)","36.3","(36.1, 36.5)","(32.69983686200, -97.1250896120)",0400000US48,"48",Texas,Wichita Falls
TX,Austin,"4805000","790,390","8.1","( 8.1,  8.2)","8","( 8.0,  8.0)","29.7","(29.6, 29.9)","29.1","(29.0, 29.2)","(30.30686103420, -97.7554771245)",0400000US48,"48",Texas,Wichita Falls
TX,Baytown,"4806128","71,802","8.6","( 8.5,  8.7)","8.5","( 8.4,  8.6)","35.2","(34.9, 35.4)","35.1","(34.9, 35.3)","(29.75711530430, -94.9676276217)",0400000US48,"48",Texas,Wichita Falls
TX,Beaumont,"4807000","118,296","9.8","( 9.7,  9.9)","9.7","( 9.6,  9.8)","37.7","(37.4, 38.0)","38.1","(37.8, 38.3)","(30.08441664700, -94.1441072222)",0400000US48,"48",Texas,Wichita Falls
TX,Brownsville,"4810768","175,023","8.1","( 8.0,  8.2)","8","( 7.9,  8.2)","35","(34.7, 35.3)","35","(34.7, 35.3)","(25.99819778610, -97.4566343763)",0400000US48,"48",Texas,Wichita Falls
TX,Bryan,"4810912","76,201","9.1","( 9.0,  9.3)","9","( 8.9,  9.2)","36.4","(36.0, 36.8)","36.8","(36.4, 37.1)","(30.66656875820, -96.3663819223)",0400000US48,"48",Texas,Wichita Falls
TX,Carrollton,"4813024","119,097","8.2","( 8.1,  8.3)","8.1","( 8.0,  8.2)","32","(31.8, 32.3)","31.3","(31.0, 31.5)","(32.98843845900, -96.9001374330)",0400000US48,"48",Texas,Wichita Falls
TX,College Station,"4815976","93,857","8.9","( 8.7,  9.2)","8.1","( 8.0,  8.2)","33.4","(32.8, 34.0)","34.2","(33.8, 34.5)","(30.58676158010, -96.2957958614)",0400000US48,"48",Texas,Wichita Falls
TX,Corpus Christi,"4817000","305,215","8","( 8.0,  8.1)","8","( 7.9,  8.0)","33.9","(33.8, 34.1)","34.1","(33.9, 34.2)","(27.72915883370, -97.4019095379)",0400000US48,"48",Texas,Wichita Falls
TX,Dallas,"4819000","1,197,816","9.3","( 9.2,  9.3)","9.2","( 9.2,  9.3)","34.7","(34.6, 34.8)","34.3","(34.2, 34.3)","(32.79398040660, -96.7656929463)",0400000US48,"48",Texas,Wichita Falls
TX,Denton,"4819972","113,383","9","( 8.9,  9.2)","8.6","( 8.5,  8.8)","31","(30.7, 31.4)","31.3","(31.0, 31.6)","(33.21561604430, -97.1412438684)",0400000US48,"48",Texas,Wichita Falls
TX,Edinburg,"4822660","77,100","7.5","( 7.3,  7.8)","7.4","( 7.3,  7.7)","33","(32.4, 33.6)","32.8","(32.2, 33.3)","(26.31558439740, -98.1637130371)",0400000US48,"48",Texas,Wichita Falls
TX,El Paso,"4824000","649,121","7.7","( 7.6,  7.7)","7.6","( 7.6,  7.7)","36.7","(36.6, 36.9)","36.9","(36.7, 37.0)","(31.84811235060, -106.432021874)",0400000US48,"48",Texas,Wichita Falls
TX,Fort Worth,"4827000","741,206","9.1","( 9.1,  9.2)","9.1","( 9.0,  9.1)","37.2","(37.0, 37.3)","36.6","(36.5, 36.7)","(32.78019280400, -97.3470323225)",0400000US48,"48",Texas,Wichita Falls
TX,Frisco,"4827684","116,989","7.6","( 7.5,  7.7)","7.6","( 7.5,  7.7)","31.5","(31.2, 31.8)","29.9","(29.6, 30.2)","(33.15075451520, -96.8201336312)",0400000US48,"48",Texas,Wichita Falls
TX,Garland,"4829000","226,876","9","( 8.9,  9.1)","8.9","( 8.9,  9.0)","34.2","(34.0, 34.3)","33.7","(33.6, 33.9)","(32.91007998670, -96.6304258603)",0400000US48,"48",Texas,Wichita Falls
TX,Grand Prairie,"4830464","175,396","8.9","( 8.8,  9.0)","8.8","( 8.8,  8.9)","35.4","(35.2, 35.6)","34.5","(34.3, 34.7)","(32.68676502380, -97.0209311916)",0400000US48,"48",Texas,Wichita Falls
TX,Houston,"4835000","2,099,451","8.3","( 8.2,  8.3)","8.2","( 8.2,  8.2)","35.8","(35.8, 35.9)","35.5","(35.4, 35.5)","(29.78066913960, -95.3860033966)",0400000US48,"48",Texas,Wichita Falls
TX,Irving,"4837000","216,290","8.4","( 8.4,  8.5)","8.5","( 8.4,  8.5)","33.7","(33.5, 33.9)","32.8","(32.6, 33.0)","(32.85838081310, -96.9703058323)",0400000US48,"48",Texas,Wichita Falls
TX,Killeen,"4839148","127,921","9.3","( 9.2,  9.4)","9.1","( 9.0,  9.2)","39.9","(39.6, 40.1)","39.2","(39.0, 39.5)","(31.07576481430, -97.7285651299)",0400000US48,"48",Texas,Wichita Falls
TX,Laredo,"4841464","236,091","8","( 7.9,  8.1)","7.9","( 7.8,  8.0)","35.4","(35.1, 35.7)","35","(34.8, 35.3)","(27.54825724750, -99.4867797312)",0400000US48,"48",Texas,Wichita Falls
TX,League City,"4841980","83,560","8.2","( 8.0,  8.3)","8.1","( 7.9,  8.2)","34.8","(34.3, 35.3)","33.7","(33.2, 34.1)","(29.48729958080, -95.1089858945)",0400000US48,"48",Texas,Wichita Falls
TX,Lewisville,"4842508","95,290","8.5","( 8.4,  8.6)","8.4","( 8.3,  8.5)","32.1","(31.8, 32.4)","31.3","(31.0, 31.5)","(33.04519924290, -96.9829273031)",0400000US48,"48",Texas,Wichita Falls
TX,Longview,"4843888","80,455","9.5","( 9.3,  9.6)","9.5","( 9.3,  9.6)","35.2","(34.9, 35.5)","35.7","(35.4, 36.0)","(32.51928578560, -94.7621975980)",0400000US48,"48",Texas,Wichita Falls
TX,Lubbock,"4845000","229,573","8.9","( 8.8,  9.0)","8.8","( 8.7,  8.8)","35","(34.7, 35.3)","35.6","(35.4, 35.9)","(33.56662511780, -101.886335663)",0400000US48,"48",Texas,Wichita Falls
TX,McAllen,"4845384","129,877","7.5","( 7.4,  7.7)","7.5","( 7.4,  7.6)","32.5","(32.1, 32.8)","32.5","(32.1, 32.8)","(26.21862899420, -98.2451704536)",0400000US48,"48",Texas,Wichita Falls
TX,McKinney,"4845744","131,117","8.1","( 8.0,  8.2)","8.1","( 8.0,  8.2)","33.5","(33.2, 33.8)","32.4","(32.1, 32.7)","(33.19888869520, -96.6677029773)",0400000US48,"48",Texas,Wichita Falls
TX,Mesquite,"4847892","139,824","9.6","( 9.5,  9.7)","9.5","( 9.4,  9.6)","34.6","(34.4, 34.8)","34.1","(33.9, 34.3)","(32.76413101660, -96.5927445114)",0400000US48,"48",Texas,Wichita Falls
TX,Midland,"4848072","111,147","8.3","( 8.2,  8.5)","8.3","( 8.2,  8.4)","32.5","(32.3, 32.8)","32.7","(32.4, 33.0)","(32.02859483560, -102.109700973)",0400000US48,"48",Texas,Wichita Falls
TX,Mission,"4848768","77,058","7.7","( 7.5,  7.9)","7.7","( 7.5,  7.9)","32.5","(32.1, 32.9)","32.6","(32.2, 33.1)","(26.20334064640, -98.3227705130)",0400000US48,"48",Texas,Wichita Falls
TX,Missouri City,"4848804","67,358","8.5","( 8.3,  8.6)","8.3","( 8.2,  8.5)","35.4","(35.0, 35.8)","34.8","(34.4, 35.2)","(29.56367466100, -95.5382066661)",0400000US48,"48",Texas,Wichita Falls
TX,Odessa,"4853388","99,940","8.6","( 8.5,  8.7)","8.6","( 8.4,  8.7)","32.8","(32.5, 33.0)","32.9","(32.6, 33.2)","(31.87945646100, -102.344465435)",0400000US48,"48",Texas,Wichita Falls
TX,Pasadena,"4856000","149,043","8","( 7.9,  8.1)","8","( 7.9,  8.1)","34.5","(34.3, 34.8)","34.2","(34.0, 34.4)","(29.65895114880, -95.1509173148)",0400000US48,"48",Texas,Wichita Falls
TX,Pearland,"4856348","91,252","7.8","( 7.7,  7.9)","7.8","( 7.6,  7.9)","32.3","(31.9, 32.8)","31.3","(30.9, 31.7)","(29.55848505770, -95.3208389111)",0400000US48,"48",Texas,Wichita Falls
TX,Pharr,"4857200","70,400","8","( 7.7,  8.3)","8","( 7.7,  8.3)","34.2","(33.6, 34.8)","34.3","(33.6, 34.8)","(26.16881539900, -98.1904720704)",0400000US48,"48",Texas,Wichita Falls
TX,Plano,"4858016","259,841","7.5","( 7.4,  7.5)","7.4","( 7.3,  7.5)","32.6","(32.4, 32.8)","31.9","(31.7, 32.1)","(33.05021492780, -96.7486409797)",0400000US48,"48",Texas,Wichita Falls
TX,Richardson,"4861796","99,223","7.9","( 7.8,  8.0)","7.8","( 7.7,  7.9)","30.7","(30.4, 31.0)","30.9","(30.5, 31.1)","(32.97165823890, -96.7093052991)",0400000US48,"48",Texas,Wichita Falls
TX,Round Rock,"4863500","99,887","8.1","( 8.0,  8.2)","8","( 7.9,  8.1)","34.3","(34.0, 34.6)","33","(32.6, 33.3)","(30.52395782350, -97.6669801882)",0400000US48,"48",Texas,Wichita Falls
TX,San Angelo,"4864472","93,200","8.5","( 8.4,  8.7)","8.5","( 8.4,  8.6)","34","(33.7, 34.4)","34.9","(34.6, 35.2)","(31.44046874600, -100.452243142)",0400000US48,"48",Texas,Wichita Falls
TX,San Antonio,"4865000","1,327,407","8.1","( 8.1,  8.1)","8","( 8.0,  8.1)","35","(35.0, 35.1)","35","(34.9, 35.1)","(29.47214753330, -98.5246763525)",0400000US48,"48",Texas,Wichita Falls
TX,Sugar Land,"4870808","78,817","6.9","( 6.8,  7.1)","6.8","( 6.7,  7.0)","32.1","(31.7, 32.5)","31.8","(31.4, 32.2)","(29.59746809020, -95.6274557750)",0400000US48,"48",Texas,Wichita Falls
TX,Tyler,"4874144","96,900","9.3","( 9.2,  9.4)","9.2","( 9.1,  9.3)","35","(34.7, 35.3)","36","(35.7, 36.3)","(32.31540211830, -95.3050093799)",0400000US48,"48",Texas,Wichita Falls
TX,Waco,"4876000","124,805","9.7","( 9.5,  9.8)","9.5","( 9.4,  9.6)","34.8","(34.5, 35.2)","35.7","(35.4, 36.0)","(31.55976071370, -97.1883333282)",0400000US48,"48",Texas,Wichita Falls
TX,Wichita Falls,"4879000","104,553","9","( 8.9,  9.1)","9","( 8.9,  9.1)","38.2","(37.8, 38.5)","38.9","(38.5, 39.2)","(33.90727398380, -98.5292981697)",0400000US48,"48",Texas,Wichita Falls
UT,Layton,"4943660","67,311","9.1","( 9.0,  9.3)","9","( 8.9,  9.2)","31.4","(31.0, 31.8)","30.8","(30.5, 31.2)","(41.07718161400, -111.961589302)",0400000US49,"49",Utah,West Valley City
UT,Ogden,"4955980","82,825","10","( 9.8, 10.1)","9.9","( 9.7, 10.0)","34.2","(33.9, 34.5)","34.2","(33.9, 34.5)","(41.22815675350, -111.967450557)",0400000US49,"49",Utah,West Valley City
UT,Orem,"4957300","88,328","8.7","( 8.5,  8.8)","8.5","( 8.4,  8.6)","30.4","(30.1, 30.8)","30.7","(30.4, 31.0)","(40.29871276250, -111.699188517)",0400000US49,"49",Utah,West Valley City
UT,Provo,"4962470","112,488","9.4","( 9.2,  9.6)","8.6","( 8.5,  8.7)","30.9","(30.3, 31.4)","31.4","(31.0, 31.7)","(40.24571852880, -111.645715857)",0400000US49,"49",Utah,West Valley City
UT,St. George,"4965330","72,897","9.2","( 9.0,  9.3)","9.3","( 9.1,  9.4)","30.8","(30.4, 31.3)","32.4","(31.9, 32.9)","(37.07874446340, -113.579352503)",0400000US49,"49",Utah,West Valley City
UT,Salt Lake City,"4967000","186,440","9.3","( 9.2,  9.3)","9.2","( 9.1,  9.2)","30.4","(30.2, 30.6)","30.3","(30.0, 30.4)","(40.77784894650, -111.931220784)",0400000US49,"49",Utah,West Valley City
UT,Sandy,"4967440","87,461","9.2","( 9.1,  9.3)","9.1","( 9.0,  9.2)","29.1","(28.8, 29.4)","28.9","(28.5, 29.2)","(40.57022544230, -111.852431062)",0400000US49,"49",Utah,West Valley City
UT,West Jordan,"4982950","103,712","9.6","( 9.4,  9.7)","9.4","( 9.3,  9.5)","31.4","(31.1, 31.7)","30.4","(30.1, 30.7)","(40.60225986350, -112.000961848)",0400000US49,"49",Utah,West Valley City
UT,West Valley City,"4983470","129,480","9.9","( 9.8, 10.0)","9.8","( 9.6,  9.9)","33.4","(33.2, 33.6)","32.8","(32.6, 33.0)","(40.68876969620, -112.011667394)",0400000US49,"49",Utah,West Valley City
VT,Burlington,"5010675","42,417","11.3","(11.0, 11.7)","10.9","(10.6, 11.1)","28.6","(27.8, 29.3)","29.6","(29.1, 30.2)","(44.48762456940, -73.2314828365)",0400000US50,"50",Vermont,Burlington
VA,Alexandria,"5101000","139,966","8.8","( 8.8,  8.9)","8.8","( 8.7,  8.9)","31.9","(31.6, 32.1)","30.9","(30.7, 31.2)","(38.81873515570, -77.0867762661)",0400000US51,"51",Virginia,Virginia Beach
VA,Chesapeake,"5116000","222,209","10","( 9.9, 10.1)","9.9","( 9.8, 10.0)","38.1","(37.9, 38.4)","37.8","(37.5, 38.0)","(36.67775211180, -76.3024325925)",0400000US51,"51",Virginia,Virginia Beach
VA,Hampton,"5135000","137,436","11","(10.8, 11.1)","10.8","(10.7, 10.9)","43","(42.8, 43.3)","43.3","(43.1, 43.6)","(37.05330090250, -76.3665945624)",0400000US51,"51",Virginia,Virginia Beach
VA,Lynchburg,"5147672","75,568","10.5","(10.3, 10.6)","10.3","(10.2, 10.5)","36.4","(35.9, 36.9)","38","(37.6, 38.4)","(37.40041630160, -79.1911081000)",0400000US51,"51",Virginia,Virginia Beach
VA,Newport News,"5156000","180,719","10.4","(10.3, 10.5)","10.3","(10.2, 10.4)","38.1","(37.9, 38.3)","38.2","(38.0, 38.4)","(37.10511413090, -76.5182644502)",0400000US51,"51",Virginia,Virginia Beach
VA,Norfolk,"5157000","242,803","10.6","(10.5, 10.8)","10.5","(10.5, 10.6)","41.2","(40.8, 41.6)","41.7","(41.5, 42.0)","(36.89328630060, -76.2567157761)",0400000US51,"51",Virginia,Virginia Beach
VA,Portsmouth,"5164000","95,535","10.8","(10.7, 11.0)","10.8","(10.7, 10.9)","44.8","(44.5, 45.2)","45.2","(44.9, 45.5)","(36.84514502280, -76.3552763467)",0400000US51,"51",Virginia,Virginia Beach
VA,Richmond,"5167000","204,214","10.8","(10.6, 10.9)","10.6","(10.6, 10.7)","38.7","(38.5, 39.0)","39.4","(39.2, 39.6)","(37.52939330830, -77.4755681680)",0400000US51,"51",Virginia,Virginia Beach
VA,Roanoke,"5168000","97,032","10.4","(10.3, 10.5)","10.4","(10.3, 10.6)","39.4","(39.1, 39.8)","39.8","(39.5, 40.1)","(37.27821818550, -79.9581615989)",0400000US51,"51",Virginia,Virginia Beach
VA,Suffolk,"5176432","84,585","10.3","(10.1, 10.4)","10.2","(10.1, 10.4)","41.4","(41.1, 41.8)","41.2","(40.9, 41.5)","(36.69303679810, -76.6414278469)",0400000US51,"51",Virginia,Virginia Beach
VA,Virginia Beach,"5182000","437,994","9.1","( 9.0,  9.1)","9","( 8.9,  9.0)","37.5","(37.4, 37.7)","37.3","(37.2, 37.5)","(36.75345933390, -76.0589579522)",0400000US51,"51",Virginia,Virginia Beach
WA,Auburn,"5303180","70,180","10.3","(10.2, 10.5)","10.2","(10.1, 10.4)","32.7","(32.4, 33.0)","32.5","(32.2, 32.8)","(47.30385443250, -122.210810557)",0400000US53,"53",Washington,Yakima
WA,Bellevue,"5305210","122,363","8.1","( 8.0,  8.2)","8.1","( 8.0,  8.2)","28.5","(28.2, 28.7)","28.5","(28.3, 28.7)","(47.59624376060, -122.153569982)",0400000US53,"53",Washington,Yakima
WA,Bellingham,"5305280","80,885","10.7","(10.5, 11.0)","10.4","(10.3, 10.6)","30.1","(29.6, 30.6)","31.1","(30.6, 31.5)","(48.75353703150, -122.468092906)",0400000US53,"53",Washington,Yakima
WA,Everett,"5322640","103,019","10.3","(10.2, 10.5)","10.3","(10.1, 10.4)","37.6","(37.3, 37.8)","37.3","(37.1, 37.6)","(47.94979661890, -122.160703911)",0400000US53,"53",Washington,Yakima
WA,Federal Way,"5323515","89,306","9.9","( 9.8, 10.0)","9.8","( 9.7,  9.9)","32.8","(32.6, 33.0)","32.6","(32.4, 32.9)","(47.30908463160, -122.335755583)",0400000US53,"53",Washington,Yakima
WA,Kennewick,"5335275","73,917","10.6","(10.4, 10.7)","10.5","(10.3, 10.7)","33.7","(33.3, 34.1)","33.8","(33.4, 34.2)","(46.19843842800, -119.173245847)",0400000US53,"53",Washington,Yakima
WA,Kent,"5335415","92,411","10.2","(10.1, 10.3)","10.1","(10.0, 10.2)","33.6","(33.4, 33.9)","33.1","(32.9, 33.3)","(47.38496362720, -122.217890194)",0400000US53,"53",Washington,Yakima
WA,Renton,"5357745","90,927","9.3","( 9.2,  9.4)","9.3","( 9.2,  9.4)","32.2","(32.0, 32.4)","31.7","(31.4, 31.9)","(47.47605467520, -122.191153327)",0400000US53,"53",Washington,Yakima
WA,Seattle,"5363000","608,660","9.1","( 9.1,  9.2)","9","( 9.0,  9.1)","29.4","(29.3, 29.5)","29.1","(29.0, 29.2)","(47.62215433800, -122.323532482)",0400000US53,"53",Washington,Yakima
WA,Spokane,"5367000","208,916","11.2","(11.1, 11.3)","11.2","(11.1, 11.3)","32.4","(32.1, 32.6)","32.7","(32.5, 32.9)","(47.67362432590, -117.415973291)",0400000US53,"53",Washington,Yakima
WA,Spokane Valley,"5367167","89,755","11","(10.9, 11.2)","11","(10.9, 11.1)","31.8","(31.5, 32.1)","32.2","(31.9, 32.5)","(47.66255657400, -117.234571922)",0400000US53,"53",Washington,Yakima
WA,Tacoma,"5370000","198,397","11.4","(11.3, 11.5)","11.3","(11.2, 11.4)","38","(37.8, 38.1)","37.9","(37.7, 38.1)","(47.24254114450, -122.454473910)",0400000US53,"53",Washington,Yakima
WA,Vancouver,"5374060","161,791","10.4","(10.3, 10.5)","10.4","(10.3, 10.5)","32.4","(32.2, 32.6)","32.4","(32.2, 32.7)","(45.63571723650, -122.598539476)",0400000US53,"53",Washington,Yakima
WA,Yakima,"5380010","91,067","11.3","(11.2, 11.5)","11.3","(11.2, 11.5)","33.3","(33.0, 33.6)","33.8","(33.5, 34.1)","(46.59257920920, -120.547807614)",0400000US53,"53",Washington,Yakima
WV,Charleston,"5414600","51,400","11.2","(11.1, 11.3)","11.3","(11.1, 11.4)","39.6","(39.2, 40.0)","40.3","(40.0, 40.7)","(38.34840797360, -81.6321650030)",0400000US54,"54",West Virginia,Charleston
WI,Appleton,"5502375","72,623","9.6","( 9.4,  9.7)","9.5","( 9.4,  9.7)","29.8","(29.4, 30.1)","29.7","(29.4, 30.1)","(44.27769874570, -88.3897664444)",0400000US55,"55",Wisconsin,Waukesha
WI,Green Bay,"5531000","104,057","10.3","(10.1, 10.4)","10.2","(10.1, 10.3)","35.9","(35.6, 36.2)","36","(35.7, 36.3)","(44.51498478160, -87.9896195955)",0400000US55,"55",Wisconsin,Waukesha
WI,Kenosha,"5539225","99,218","10","( 9.9, 10.1)","9.9","( 9.8, 10.1)","34.8","(34.5, 35.1)","34.7","(34.4, 35.1)","(42.58557027100, -87.8735745085)",0400000US55,"55",Wisconsin,Waukesha
WI,Madison,"5548000","233,209","9.4","( 9.3,  9.5)","9.1","( 9.1,  9.2)","29.4","(29.1, 29.6)","29.3","(29.1, 29.5)","(43.08098656940, -89.3915106344)",0400000US55,"55",Wisconsin,Waukesha
WI,Milwaukee,"5553000","594,833","11.4","(11.3, 11.4)","11.3","(11.2, 11.3)","39.2","(39.1, 39.3)","39.2","(39.1, 39.3)","(43.06412589250, -87.9672412429)",0400000US55,"55",Wisconsin,Waukesha
WI,Racine,"5566000","78,860","10.8","(10.7, 10.9)","10.7","(10.6, 10.9)","39.8","(39.5, 40.1)","39.8","(39.4, 40.1)","(42.72745994940, -87.8134530240)",0400000US55,"55",Wisconsin,Waukesha
WI,Waukesha,"5584250","70,718","9.3","( 9.1,  9.4)","9.2","( 9.1,  9.4)","33.4","(33.0, 33.8)","33.2","(32.8, 33.6)","(43.00933322150, -88.2457679157)",0400000US55,"55",Wisconsin,Waukesha
WY,Cheyenne,"5613900","59,466","9.6","( 9.4,  9.7)","9.6","( 9.4,  9.7)","33.1","(32.6, 33.5)","33.4","(32.9, 33.8)","(41.14608042650, -104.789064332)",0400000US56,"56",Wyoming,Cheyenne
